title,prompt_text,output_text,ai_tool_name,type_name,category_name,tags,rating,output_status,credits_used,attachment_filename,usage_count,version,ai_tool_model
Fitness Program Designer,Create a comprehensive 12-week fitness program for [FITNESS GOAL] suitable for [FITNESS LEVEL]. Include workout schedules (training split rest days periodization) exercise descriptions (proper form variations progressions) nutrition guidelines (macros meal timing hydration supplementation) progress tracking methods (measurements photos performance metrics) injury prevention strategies (warm-up cool-down mobility work) equipment alternatives (home gym bodyweight modifications) motivation techniques (goal setting rewards accountability) and lifestyle integration (time management stress management sleep optimization). Adapt for different environments and equipment availability.,,ChatGPT,Internet,Health,"[""fitness"",""exercise""]",4,Successful,36,,298,1,GPT-4
Creative Writing Prompt Generator,Generate 20 unique creative writing prompts for [GENRE] writers including character archetypes (heroes villains mentors tricksters) setting inspirations (time periods locations atmospheres) conflict scenarios (internal external societal supernatural) plot devices (MacGuffins red herrings plot twists) dialogue starters (conversations that reveal character) world-building elements (magic systems technologies cultures) emotional themes (love loss redemption identity) and writing challenges (perspective shifts time manipulation unreliable narrators). Each prompt includes character motivation conflict stakes and potential resolution paths.,,Claude,Internet,Creative,"[""writing"",""prompts""]",4,Successful,30,,165,1,Claude-3-Opus
Data Analysis Report Generator,Analyze [DATASET TYPE] and create comprehensive insights report including data cleaning procedures (handling missing values outliers normalization) exploratory analysis (descriptive statistics distributions correlations) visualization recommendations (charts graphs dashboards) pattern identification (trends seasonality anomalies) statistical testing (hypothesis formation significance testing) predictive modeling suggestions (algorithms feature selection validation) business implications (actionable insights recommendations) and presentation format (executive summary technical appendix interactive elements). Include methodology explanation and confidence intervals.,,ChatGPT,Internet,Analytics,"[""data"",""analysis""]",5,Successful,44,,142,1,GPT-4
Product Launch Strategy,Develop a complete go-to-market strategy for [PRODUCT] in [TARGET MARKET]. Include market research summary (customer personas pain points competitive landscape) positioning strategy (unique value proposition messaging framework brand differentiation) pricing model (cost analysis competitive pricing psychological pricing) distribution channels (direct sales partnerships retail online) marketing campaign timeline (pre-launch awareness generation launch execution post-launch nurturing) success metrics (KPIs tracking methods ROI calculation) risk mitigation (potential obstacles contingency plans) and resource allocation (budget staffing timeline dependencies).,,Claude,Internet,Business,"[""launch"",""strategy""]",5,Successful,50,,178,1,Claude-3-Sonnet
Customer Service Response Template,Create professional customer service response templates for [INDUSTRY] covering complaint resolution (acknowledgment investigation solution follow-up) refund processing (eligibility verification approval communication) technical support (troubleshooting escalation documentation) general inquiries (product information billing questions account management) and satisfaction surveys (feedback collection improvement suggestions loyalty building). Include tone guidelines (empathetic professional solution-focused) personalization tactics (customer name history preferences) escalation triggers (when to involve supervisors) and response time standards (immediate acknowledgment resolution timelines).,,ChatGPT,Internet,Business,"[""service"",""templates""]",4,Successful,35,,156,1,GPT-4
Academic Research Assistant,Help structure an academic paper on [RESEARCH TOPIC] including literature review framework (source evaluation synthesis critical analysis) research methodology (quantitative qualitative mixed methods) data collection strategies (surveys interviews observations experiments) analysis techniques (statistical methods thematic analysis) citation formatting (APA MLA Chicago Harvard) argument development (thesis formation evidence organization counterargument addressing) writing structure (introduction body conclusion abstract) and revision checklist (clarity coherence academic voice plagiarism prevention). Include timeline and milestone planning.,,Claude,Internet,Education,"[""research"",""academic""]",5,Successful,42,,189,1,Claude-3-Opus
Brand Identity Developer,Create a complete brand identity for [BUSINESS TYPE] including brand personality definition (values mission vision voice tone) visual identity elements (logo color palette typography imagery style) brand messaging framework (tagline elevator pitch value propositions) target audience analysis (demographics psychographics behaviors preferences) competitive differentiation (unique positioning market gaps) brand guidelines document (usage rules applications don'ts) and implementation strategy (rollout plan touchpoint integration consistency maintenance). Include mood boards and style references.,,ChatGPT,Internet,Branding,"[""identity"",""design""]",4,Successful,38,,167,1,GPT-4
Personal Productivity System,Design a comprehensive productivity system for [PROFESSION/LIFESTYLE] including time management techniques (time blocking Pomodoro GTD Eisenhower matrix) task prioritization methods (MoSCoW RICE value-based scoring) digital tool recommendations (apps integrations automation workflows) habit formation strategies (habit stacking environmental design accountability) energy management (peak hours breaks recovery routines) goal setting frameworks (SMART OKRs backward planning) and review processes (daily weekly monthly quarterly evaluations). Customize for different personality types and work styles.,,Claude,Internet,Productivity,"[""systems"",""habits""]",5,Successful,41,,234,1,Claude-3-Sonnet
Event Planning Coordinator,Plan a comprehensive [EVENT TYPE] for [NUMBER] attendees including venue selection criteria (capacity location accessibility budget) timeline development (6-month 3-month 1-month 1-week day-of schedules) vendor coordination (catering entertainment photography security) budget management (cost categories tracking payment schedules contingency funds) marketing promotion (save-the-dates invitations social media PR) registration management (RSVP tracking dietary requirements special needs) and post-event follow-up (thank you notes feedback collection photo sharing relationship nurturing). Include emergency contingency plans.,,ChatGPT,Internet,Events,"[""planning"",""coordination""]",4,Successful,45,,145,1,GPT-4
Interview Preparation Coach,Prepare comprehensive interview strategy for [JOB POSITION] including common question responses (behavioral technical situational) STAR method examples (situation task action result) company research framework (culture values recent news competitive landscape) question preparation (intelligent questions about role company growth) salary negotiation tactics (research benchmarking timing strategies) body language tips (confidence professionalism engagement) follow-up procedures (thank you notes timeline additional materials) and stress management (preparation techniques day-of calmness visualization exercises). Include practice scenarios and feedback methods.,,Claude,Internet,Career,"[""interviews"",""preparation""]",5,Successful,39,,198,1,Claude-3-Opus
NUTELLA DRONE PROMPT,Ultra-fast cinematic drone shot begins above towering snow-capped mountains at sunrise. The camera dives rapidly down into lush green valleys weaving through winding rivers and mist-covered pine forests. The speed increases as the drone races through narrow tree gaps flying just above waterfalls and wild terrain. Finally it slows as it approaches a small moss-covered stone deep in the forest clearing dramatically revealing a single Nutella jar placed perfectly on top. No text. Style: cinematic hyper-realistic nature documentary with commercial twist. Camera: dynamic first-person drone shot fast flythrough ends in slow reveal with symmetrical focus on Nutella jar. Lighting: golden hour lighting transitioning to soft forest shadows light rays cutting through trees in final shot.,,RunwayML,Internet,Videos,"[""cinematic"",""commercial""]",5,Successful,60,,45,1,Gen-3
ROLEX TRANSFORMATION PROMPT,A cinematic transformation from the Rolex logo to a luxury watch in a black studio. Scene 1: In a dark sleek black studio the golden Rolex crown logo appears center screen under dramatic spotlight. The letters R-O-L-E-X fade in beneath the crown each letter with subtle metallic glint. Scene 2: The Rolex letters begin to split and unfold transforming into mechanical parts—gears bezels springs dial fragments. The golden crown morphs into a watch rotor. All components drift upward and outward floating in slow motion shimmering with gold and steel reflections. Scene 3: The components magnetically assemble snapping together with perfect alignment. Scene 4: The finished Rolex floats spinning slowly. Black studio reflects its polished metal and gold. Mood: Elite craftsmanship timeless precision awe-inspiring.,,Sora,Internet,Videos,"[""luxury"",""transformation""]",5,Successful,75,,38,1,Sora-1.0
MUSTANG ASSEMBLY PROMPT,Photorealistic cinematic single continuous shot at night in remote empty terrain under deep navy star-filled sky. In midair floats a metallic silver Mustang horse emblem shaped like a button. From the right side of frame a black leather-gloved hand presses the emblem. As button is pressed a powerful red energy pulse expands in concentric waves across the scene. From all directions real Mustang components fly in and assemble midair with high-tech precision: chassis frame multi-link suspension ventilated disc rotors forged alloy wheels steering rack driveshaft 5.0L V8 engine block exhaust headers front grille sculpted hood fenders doors roof windshield LED headlamps tri-bar taillights interior elements. Camera begins in extreme close-up of emblem press then smoothly dollies back and cranes upward into wide three-quarter hero angle. Sequence ends with fully assembled glossy red Ford Mustang coupe settling onto dark ground.,,Sora,Internet,Videos,"[""automotive"",""assembly""]",5,Successful,85,,42,1,Sora-1.0
NIKE FUTURISTIC SHOE AD,Cinematic ad of a futuristic Nike Airforce shoe. From a mist of micro-particles the shoe forms over a crimson-to-black gradient shimmering with nano-knit panels and a glowing translucent sole. Slow push-in with shallow depth of field soft whoosh and synthetic heartbeat. Laces auto-tighten with glowing filaments and tiny sparks. The shoe levitates as energy ribbons swirl in a 360° orbit suggesting speed. Finale: exploded view shows parts separating briefly before snapping back together. The shoe lands on a mirror-black surface a ripple spreading as the scene fades to black. Deep bass and soft chime close.,,RunwayML,Internet,Videos,"[""product"",""futuristic""]",4,Successful,55,,67,1,Gen-3
Portrait Photography Prompt,A cinematic portrait of a person standing in dramatic lighting under a stormy sky. Moody shadows wind in hair cinematic tones 85mm lens depth. Emotionally intense scene. Focus on natural expression and environmental storytelling. Use three-point lighting setup with key light from side fill light softening shadows and rim light separating subject from background. Weather elements should enhance mood without overpowering subject. Color grading should emphasize contrast between warm skin tones and cool stormy sky.,,Midjourney,Internet,Images,"[""portrait"",""dramatic""]",4,Successful,25,,123,1,v6.1
Sports Car Lifestyle Shot,A confident man leaning against a sports car (Ferrari or BMW) on an empty highway at sunset. Wearing sunglasses and leather jacket with glowing headlights and golden hour ambiance. Capture the essence of freedom and success. Use wide-angle lens to show both subject and car context. Focus on warm golden hour lighting with lens flares from headlights. Composition should follow rule of thirds with subject and car balanced in frame. Include depth of field to blur distant highway.,Cinematic lifestyle photography showcasing luxury and freedom. Model appears confident and successful with natural pose against the vehicle. Perfect golden hour lighting creates warm atmosphere.,DALL-E,Internet,Images,"[""lifestyle"",""automotive""]",4,Successful,30,,89,1,DALL-E-3
Festival Dance Photography,A woman dancing barefoot during Holi festival colors flying in the air traditional attire glowing under warm sunlight vibrant energy and tradition merged. Capture movement and joy with high shutter speed to freeze color powder in motion. Use natural sunlight with reflector to illuminate subject. Focus on cultural authenticity and emotional expression. Include environmental context showing festival atmosphere.,Vibrant cultural celebration photograph capturing pure joy and movement. Subject shows genuine happiness and cultural pride. Colors are saturated and dynamic showing the excitement of festival.,Midjourney,Internet,Images,"[""cultural"",""festival""]",5,Successful,28,,156,1,v6.1
Futuristic Soldier Concept,A futuristic soldier with glowing armor standing on a battlefield of stars surrounded by energy storms and floating islands. Cinematic fantasy tone. Create epic sci-fi atmosphere with dramatic lighting and otherworldly environment. Focus on detailed armor design with glowing elements. Use wide composition to show scale of fantastical battlefield. Include particle effects and energy elements.,Epic fantasy artwork featuring heavily detailed futuristic military gear. Scene conveys power and otherworldly conflict. Lighting emphasizes glowing armor elements against cosmic background.,Stable Diffusion,Internet,Images,"[""sci-fi"",""warrior""]",4,Successful,35,,94,1,SDXL
Romantic Rooftop Scene,A couple sitting silently on a rooftop under fairy lights gazing at the stars with soft smiles. Urban background blur gentle colors peaceful emotional mood. Focus on intimate atmosphere and connection between subjects. Use soft lighting from fairy lights as key light source. Include urban cityscape in background with shallow depth of field. Emphasize warm color palette and cozy atmosphere.,Tender romantic scene capturing quiet intimacy and connection. Subjects appear content and peaceful in each other's company. Lighting creates magical ambiance with urban setting providing context.,DALL-E,Internet,Images,"[""romantic"",""urban""]",4,Successful,32,,187,1,DALL-E-3
Marketing Campaign Strategy,Develop a multi-channel marketing campaign for [PRODUCT] targeting [DEMOGRAPHIC]. Include audience research buyer personas competitive analysis channel selection (social media email content marketing PPC) messaging framework content calendar budget allocation timeline milestones and success metrics. Create compelling headlines calls-to-action and visual concepts. Plan A/B testing strategies for optimization.,Comprehensive marketing strategy with detailed audience analysis and channel-specific tactics. Campaign includes creative concepts timeline and measurable objectives with ROI projections.,ChatGPT,Internet,Marketing,"[""campaign"",""strategy""]",5,Successful,48,,167,1,GPT-4
LinkedIn Content Creator,Create a month of engaging LinkedIn content for [INDUSTRY PROFESSIONAL]. Include thought leadership posts industry insights personal stories professional tips trend commentary behind-the-scenes content and interactive polls. Each post should drive engagement build authority and expand network. Include hashtag strategies optimal posting times and comment engagement tactics.,Professional LinkedIn content calendar with diverse post types designed to build thought leadership. Content balances personal insights with industry expertise to drive meaningful engagement.,Claude,Internet,Social Media,"[""linkedin"",""professional""]",4,Successful,35,,143,1,Claude-3-Sonnet
Website Conversion Optimizer,Audit and optimize [WEBSITE] for conversions including user experience analysis landing page optimization call-to-action placement form optimization checkout process improvement page speed optimization mobile responsiveness testing and trust signal implementation. Provide specific recommendations with expected impact and implementation priority.,Detailed conversion optimization audit with actionable recommendations. Analysis covers user journey bottlenecks and provides data-driven solutions to improve conversion rates and user experience.,ChatGPT,Internet,Website,"[""optimization"",""conversions""]",5,Successful,42,,189,1,GPT-4
YouTube Video Scriptwriter,Write engaging YouTube script for [TOPIC] including attention-grabbing hook compelling introduction main content with storytelling elements smooth transitions between points clear call-to-action and memorable ending. Include timing suggestions thumbnail concepts and engagement strategies to maximize watch time and subscriber growth.,Engaging video script optimized for YouTube audience retention. Content balances entertainment with value delivery using proven storytelling techniques and platform-specific best practices.,Claude,Internet,Content Creation,"[""youtube"",""scripts""]",4,Successful,38,,234,1,Claude-3-Sonnet
E-commerce Product Optimizer,Optimize product listings for [E-COMMERCE PLATFORM] including keyword-rich titles compelling descriptions high-quality image requirements competitive pricing analysis review management strategies inventory optimization and conversion rate improvements. Focus on search visibility and customer experience.,Complete e-commerce optimization strategy improving product visibility and sales conversion. Recommendations cover all aspects from search optimization to customer experience enhancement.,ChatGPT,Internet,E-comm,"[""optimization"",""products""]",4,Successful,36,,198,1,GPT-4
Personal Brand Strategist,Build comprehensive personal brand for [PROFESSION] including brand positioning unique value proposition content themes visual identity social media strategy networking approach thought leadership development and reputation management. Create action plan for consistent brand building across all touchpoints.,Strategic personal branding plan with clear positioning and implementation roadmap. Strategy focuses on authentic brand building that aligns with career goals and target audience needs.,Claude,Internet,Branding,"[""personal"",""strategy""]",5,Successful,44,,176,1,Claude-3-Opus
Sales Funnel Designer,Design complete sales funnel for [BUSINESS] including awareness stage content lead magnets landing pages email sequences nurture campaigns social proof integration objection handling closing techniques and retention strategies. Map customer journey with touchpoints and conversion optimization opportunities.,Comprehensive sales funnel architecture with stage-specific strategies and content. Design focuses on customer journey optimization and conversion rate improvement at each funnel stage.,ChatGPT,Internet,Sales,"[""funnel"",""conversion""]",5,Successful,52,,154,1,GPT-4
Crisis Management Plan,Develop crisis communication plan for [ORGANIZATION] including risk assessment crisis team structure communication protocols stakeholder messaging media relations social media management internal communications recovery strategies and reputation rebuilding. Include templates and decision-making frameworks.,Comprehensive crisis management framework with clear protocols and response strategies. Plan includes proactive measures and reactive solutions to protect organizational reputation and stakeholder relationships.,Claude,Internet,Communications,"[""crisis"",""management""]",5,Successful,46,,132,1,Claude-3-Sonnet
Influencer Campaign Manager,Create influencer marketing strategy for [BRAND] including influencer identification and vetting collaboration proposals content guidelines campaign management performance tracking and ROI measurement. Develop authentic partnership approaches that align with brand values and target audience.,Strategic influencer marketing approach with focus on authentic partnerships and measurable results. Campaign framework ensures brand alignment while maximizing reach and engagement with target demographics.,ChatGPT,Internet,Marketing,"[""influencer"",""campaigns""]",4,Successful,40,,165,1,GPT-4
Customer Retention Specialist,Develop customer retention program for [BUSINESS TYPE] including churn analysis loyalty program design personalized communication strategies win-back campaigns satisfaction surveys referral systems and lifetime value optimization. Focus on building long-term customer relationships and reducing acquisition costs.,Comprehensive retention strategy focused on customer lifetime value and satisfaction. Program includes proactive churn prevention and reactive win-back strategies with personalized customer experiences.,Claude,Internet,Customer Success,"[""retention"",""loyalty""]",5,Successful,45,,187,1,Claude-3-Opus
Newsletter Content Creator,Design weekly newsletter for [INDUSTRY/NICHE] including content curation industry news analysis expert interviews subscriber-exclusive content interactive elements and community building. Create templates for different content types and engagement strategies to build loyal readership.,Engaging newsletter strategy with diverse content mix designed to inform and engage subscribers. Format balances industry insights with exclusive content to build community and reader loyalty.,ChatGPT,Internet,Marketing,"[""newsletter"",""content""]",4,Successful,33,,198,1,GPT-4
Podcast Launch Strategy,Launch comprehensive podcast for [NICHE] including concept development format selection equipment recommendations recording and editing workflows guest booking strategies distribution platform setup marketing and promotion plans and monetization strategies. Create sustainable content production system.,Complete podcast launch framework from concept to monetization. Strategy covers technical setup content planning guest acquisition and audience building for sustainable podcast growth.,Claude,Internet,Marketing,"[""launch"",""strategy""]",4,Successful,41,,143,1,Claude-3-Sonnet
Lead Generation System,Build automated lead generation system for [BUSINESS] including lead magnet creation landing page optimization email automation sequences lead scoring and qualification processes CRM integration and sales handoff procedures. Focus on quality lead generation and efficient conversion processes.,Systematic lead generation approach with automation and qualification processes. System designed to attract qualify and convert prospects while maintaining lead quality and sales efficiency.,ChatGPT,Internet,Marketing,"[""leads"",""automation""]",5,Successful,47,,176,1,GPT-4
Content Repurposing Strategy,Transform existing content into multiple formats for [CONTENT TYPE] including blog posts to social media content videos to podcasts long-form to micro-content and cross-platform optimization. Maximize content ROI through strategic repurposing and distribution across channels.,Efficient content multiplication strategy that maximizes existing content value. Approach covers format transformation and platform-specific optimization to extend content lifecycle and reach.,Claude,Internet,Content,"[""repurposing"",""efficiency""]",4,Successful,35,,201,1,Claude-3-Sonnet
Webinar Production Manager,Plan and execute engaging webinar for [TOPIC] including content development presentation design audience engagement strategies technical setup and testing registration and promotion marketing follow-up sequences and conversion optimization. Create memorable and valuable learning experience.,Complete webinar production framework focusing on audience engagement and conversion. Strategy covers all aspects from content creation to post-event nurturing for maximum educational value and business impact.,ChatGPT,Internet,Events,"[""webinar"",""education""]",4,Successful,39,,189,1,GPT-4
Affiliate Marketing Strategist,Develop affiliate program for [BUSINESS] including program structure commission models affiliate recruitment and onboarding promotional material creation performance tracking and relationship management. Build sustainable affiliate ecosystem that drives revenue growth.,Strategic affiliate program design with focus on mutually beneficial partnerships. Framework includes recruitment processes relationship building and performance optimization for sustainable revenue growth.,Claude,Internet,Marketing,"[""program"",""partnerships""]",4,Successful,43,,154,1,Claude-3-Opus
Local SEO Optimizer,Optimize local business presence for [BUSINESS TYPE] including Google My Business optimization local citation building review management local keyword targeting location-based content creation and community engagement strategies. Improve local search visibility and foot traffic.,Comprehensive local SEO strategy focused on community visibility and customer acquisition. Approach covers all local search factors while building genuine community connections and customer relationships.,ChatGPT,Internet,SEO,"[""local"",""optimization""]",4,Successful,37,,167,1,GPT-4
Conversion Rate Optimization Analyst,Analyze and improve website conversion rates for [WEBSITE TYPE] including user behavior analysis A/B testing framework heat map analysis form optimization checkout process improvement trust signal implementation and mobile optimization. Use data-driven approach to maximize conversions.,Systematic conversion optimization approach using data analysis and testing methodologies. Strategy focuses on user experience improvement and conversion barrier removal for measurable business growth.,Claude,Internet,Analytics,"[""conversion"",""testing""]",5,Successful,41,,198,1,Claude-3-Sonnet
Customer Success Manager,Develop customer success program for [SaaS/SERVICE] including onboarding optimization user adoption strategies health score tracking proactive support systems expansion opportunity identification and churn prevention. Build processes that ensure customer value realization and business growth.,Comprehensive customer success framework focused on value delivery and relationship building. Program includes proactive engagement strategies and success metrics to ensure mutual business growth.,ChatGPT,Internet,Marketing,"[""success"",""retention""]",5,Successful,44,,176,1,GPT-4
Instagram Growth Strategist,Build Instagram presence for [BRAND/CREATOR] including content strategy and planning hashtag research and optimization engagement tactics Stories and Reels creation influencer collaboration strategies analytics tracking and community building. Focus on authentic growth and meaningful engagement.,Strategic Instagram growth approach emphasizing authentic content and community engagement. Strategy covers all platform features while building genuine audience relationships and sustainable growth metrics.,Claude,Internet,Social Media,"[""instagram"",""growth""]",4,Successful,36,,234,1,Claude-3-Sonnet
Email Automation Specialist,Create comprehensive email automation system for [BUSINESS TYPE] including welcome series abandoned cart recovery product education sequences customer win-back campaigns birthday and anniversary emails and behavioral trigger campaigns. Design personalized customer journey through email.,Advanced email marketing automation focused on customer lifecycle management. System includes personalized messaging triggers and segmentation strategies for maximum engagement and conversion optimization.,ChatGPT,Internet,Marketing,"[""automation"",""personalization""]",5,Successful,42,,187,1,GPT-4
Digital Product Creator,Launch digital product for [NICHE] including market research and validation product concept development pricing strategy sales page creation payment processing setup customer support systems and launch marketing campaign. Build sustainable digital product business.,Complete digital product launch framework from concept to customer delivery. Strategy covers market validation product development and marketing systems for successful digital product business creation.,Claude,Internet,Digital Products,"[""creation"",""launch""]",4,Successful,48,,145,1,Claude-3-Opus
UX/UI Design Consultant,Improve user experience for [DIGITAL PRODUCT] including user research and personas information architecture design wireframing and prototyping usability testing accessibility optimization and design system creation. Create intuitive and engaging user experiences.,Comprehensive UX/UI design process focused on user-centered design principles. Approach includes research validation and iterative design methods to create exceptional digital experiences.,ChatGPT,Internet,Design,"[""ux"",""ui""]",5,Successful,45,,189,1,GPT-4
Brand Storytelling Specialist,Craft compelling brand story for [COMPANY] including brand narrative development emotional connection strategies customer story integration across marketing channels storytelling framework for different mediums and consistent brand voice implementation. Build authentic brand relationships through narrative.,Strategic brand storytelling approach that creates emotional connections with audiences. Framework includes narrative development and implementation strategies across all brand touchpoints for consistent messaging.,Claude,Internet,Branding,"[""storytelling"",""narrative""]",4,Successful,38,,167,1,Claude-3-Sonnet
Community Building Manager,Build engaged community for [BRAND/TOPIC] including platform selection community guidelines and moderation engagement strategies and content planning member onboarding and retention exclusive content and events and community growth tactics. Foster meaningful connections and brand loyalty.,Comprehensive community building strategy focused on member engagement and value creation. Approach includes platform optimization engagement tactics and retention strategies for thriving community ecosystem.,ChatGPT,Internet,Community,"[""building"",""engagement""]",4,Successful,41,,198,1,GPT-4
Market Research Analyst,Conduct comprehensive market research for [INDUSTRY/PRODUCT] including competitive landscape analysis target audience research industry trends and opportunities pricing analysis customer pain point identification SWOT analysis and market size estimation. Provide actionable business insights.,Thorough market research methodology providing strategic business intelligence. Analysis covers all market factors with actionable recommendations for informed business decision-making and competitive positioning.,Claude,Internet,Research,"[""market"",""analysis""]",5,Successful,43,,154,1,Claude-3-Opus
Online Course Creator,Develop comprehensive online course for [SKILL/TOPIC] including learning objectives and curriculum design content creation and video production student engagement strategies assessment and certification systems marketing and sales strategy and student support systems. Create valuable educational experience.,Complete online course development framework from curriculum design to student success. Strategy includes content creation marketing and support systems for profitable educational product creation.,ChatGPT,Internet,Education,"[""course"",""creation""]",5,Successful,50,,176,1,GPT-4
SEO Content Writer,Create SEO-optimized content for [TOPIC/KEYWORD] including keyword research and mapping content outline and structure on-page optimization techniques internal linking strategy meta descriptions and title tags readability optimization and content promotion strategies. Balance SEO with user value.,Strategic SEO content creation that balances search optimization with user value. Approach includes comprehensive keyword strategy and content optimization for improved search visibility and user engagement.,Claude,Internet,SEO,"[""seo"",""writing""]",4,Successful,34,,234,1,Claude-3-Sonnet
E-learning Platform Designer,Design engaging e-learning experience for [SUBJECT] including instructional design principles interactive content creation multimedia integration progress tracking and analytics gamification elements mobile optimization and accessibility features. Create effective online learning environment.,Comprehensive e-learning platform design focused on student engagement and learning outcomes. Framework includes interactive design elements and tracking systems for effective educational technology implementation.,ChatGPT,Internet,Education,"[""elearning"",""design""]",4,Successful,46,,145,1,GPT-4
